DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Correlates of insider and outsider conceptualizations of recovery.","Objective: The concept of recovery can be based on the self report of the individual experiencing the phenomenon ('insider' perspective) or objectively measured by clinicians and researchers ('outsider perspective'). The purpose of this study was to examine the relations among insider (hope and empowerment) and outsider (symptoms and cognition) variables of recovery. Methods: 66 individuals with schizophrenia, bipolar disorder or major depression were administered the Brief Psychiatric Rating Scale, a battery of cognitive measures, The Hope Scale and The Empowerment Scale. Results: For symptoms, depression and anxiety had the strongest relationships with hope and empowerment. Cognition was associated with a subset of activist oriented empowerment subscales. There were strong relationships among the hope and empowerment measures but few relationships among symptoms and cognition. Conclusions: Relationships exist between insider and outsider conceptualizations of recovery in that symptoms and cognition are associated with some aspects of hope and empowerment. (PsycINFO Database Record (c) 2020 APA, all rights reserved)","Brown, Catana;Rempfer, Melisa;Hamera, Edna","","","Psychiatric Rehabilitation Journal","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2008","","US","32","1","23","31","","","*Cognition;  *Empowerment;  *Major Depression;  *Recovery (Disorders);  *Schizophrenia; Hope; Symptoms","18614446","2008-10796-003","Brown, Catana: School of Occupational Therapy, Touro University Nevada, 874 American Pacific Drive, Henderson, NV, US, 89014, tana.brown@touro.edu","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.2975/32.1.2008.23.31"
"Comment/Reply","Seeing the Complexities: A Comment on 'Combined Psychotherapy and Pharmacotherapy for Mood and Anxiety Disorders in Adults: Review and Analysis'.","Comments on the article by M. Otto et al (this issue; see article 2005-01375-010) regarding combined treatments for mood and anxiety disorders in adults. The current author notes that Otto et al suggested that the data do not support the use of combined approaches as the default treatment for these conditions. They advocated a nuanced view of the existing findings and emphasized that much is yet to be discovered about whether and how best to combine psychosocial and pharmacological interventions. An empirical update from several recently completed randomized controlled trials (RCTs) examining combined treatment is provided here, and points of convergence and divergence between these findings and the broader literature are considered. Additionally, this commentary supplements their discussion by (a) supporting their strong emphasis on interdisciplinary research and creativity in conceptualizing and designing combined treatments, (b) emphasizing the importance of studying predictors of treatment response in adequately powered trials to better clarify which subgroups require the additional expenditure of resources associated with combined treatment, and (c) encouraging the development and empirical evaluation of combined treatments for children and adolescents. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Franklin, Martin E.","","","","Blackwell Publishing","2005","","United Kingdom","12","1","87","91","","","*Affective Disorders;  *Anxiety Disorders;  *Drug Therapy;  *Interdisciplinary Treatment Approach;  *Psychotherapy; Bipolar Disorder; Chronicity (Disorders); Cognitive Behavior Therapy; Major Depression; Relapse Prevention; Severity (Disorders)","","2005-01375-011","Franklin, Martin E.: Center for the Treatment Study of Anxiety, University of Pennsylvania, 3535 Market Street, Philadelphia, PA, US, 19104, marty@mail.med.upenn.edu","1468-2850(Electronic);0969-5893(Print)","","https://doi.org/10.1093/clipsy.bpi010"
"Journal Article","Coping in a world gone sane.","This article present the experiences of the author regarding mental disorders and alcoholism. The author is an artist by trade, an Irishman by faith, and an sober alcoholic by necessity. In 1978, after being sober for 2 years, the troubles with mania lead to a diagnosis of bipolar illness by doctors at a local city hospital. Lithium was prescribed. It worked until 1980 when he resumed drinking. The new professionals administrating his therapeutic care felt that lithium was not going to help him with my bipolar illness. His desperation lead me to take radical steps to get my sanity back. Empowerment would be a good word to describe the process. The author took medication as directed and developed tools to recover from his form of mental illness. The biggest part of his recovery has been working with homeless and incarcerated alcoholics. His life is working despite the odds. And those of us with psychiatric disabilities who aren’t accustomed to success can overcome the obstacles no matter what the roadblocks and challenges. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Mahoney, Ulick","","","Psychiatric Rehabilitation Journal","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","1997","","US","21","2","185","187","","","*Alcoholism;  *Coping Behavior;  *Dual Diagnosis;  *Mental Disorders; Bipolar Disorder; Drug Therapy; Empowerment; Lithium","","2013-12709-001","","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.1037/h0095318"
"Journal Article","My personal story of coping.","This article presents the author's story of coping with a parent suffering from bipolar disorder. The role of animal-assisted therapy in the recovery process is discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Jacobs, Marjorie","","","Psychiatric Rehabilitation Journal","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2008","","US","32","2","135","137","","","*Animal Assisted Therapy;  *Bipolar Disorder; Coping Behavior","18840570","2008-15385-010","","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.2975/32.2.2008.135.137"
"Journal Article","Measuring impulse control in institutionalized delinquents using Rorschach content and thought process scales.","Separated 20 institutionalized delinquent males by judges into a more controlled (GGs) and more impulsive (SSs) group. Ss were matched by age, IQ, and ethnic origin. Rorschachs were individually administered and scored on 6 content scales and 2 thought process scales. A single control score derived from these scales significantly differentiated the 2 groups. In particular, the SSs produced more content similar to that hypothesized for manic patients while the GGs demonstrated more thinking which involved exaggerated attempts at control. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Roberts, Alan H.;Erikson, Robert V.","","","Journal of Abnormal Psychology","American Psychological Association","1969","","US","74","5","632","634","","","*Juvenile Delinquency;  *Prediction; Rorschach Test","5349409","1970-00688-001","","1939-1846(Electronic);0021-843X(Print)","","https://doi.org/10.1037/h0028077"
"Journal Article","Gender differences in psychiatric comorbidity among adolescents with substance use disorders.","The authors examined gender differences in rates of comorbid psychiatric disorders among adolescents with 1 or more psychoactive substance use disorders. Baseline diagnostic data were obtained from 135 adolescents, ages 12 to 19, and their parents-guardians, who participated in a study to develop and efficacy test Integrated Family and Cognitive-Behavioral Therapy. Rates of attention-deficit/hyperactivity disorder and conduct disorder were higher among drug-abusing male adolescents compared with drug-abusing female adolescents. However, high rates of disruptive behavior disorders also characterized drug-abusing female adolescents. Similarly, drug-abusing female adolescents exhibited a higher rate of major depression compared with drug-abusing male adolescents. However, rates of dysthymia, double depression (i.e., major depression and dysthymia), and bipolar disorder were equivalent between genders. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Latimer, William W.;Stone, Andrea L.;Voight, Amanda;Winters, Ken C.;August, Gerald J.","","","Experimental and Clinical Psychopharmacology","American Psychological Association","2002","","US","10","3","310","315","","","*Comorbidity;  *Drug Abuse;  *Human Sex Differences;  *Mental Disorders;  *Disruptive Behavior Disorders; Affective Disorders; Attention Deficit Disorder with Hyperactivity; Behavior Disorders; Substance Use Disorder","12233992","2002-15488-016","Latimer, William W.: Johns Hopkins U, Bloomberg School of Public Health, Dept of Mental Hygiene, 624 North Broadway, Baltimore, MD, US, 21205, wlatimer@jhsph.edu","1936-2293(Electronic);1064-1297(Print)","1-55798-976-1","https://doi.org/10.1037/1064-1297.10.3.310"
"Comment/Reply","What Is the Optimal Treatment of Mood and Anxiety Disorders?","Comments on the article by M. Otto et al (this issue; see article 2005-01375-010) regarding combined treatments for mood and anxiety disorders in adults. The current authors note that in clinical psychiatry, the underlying assumption of using an integrated approach (pharmacotherapy + psychotherapy) is that of an additive model of interaction between pharmacotherapy and psychotherapy, which could take place on the basis of specific changes to be induced by specific treatments. However, the simultaneous administration of pharmacotherapy and psychotherapy is based on a cross-sectional, flat view of the disorders which ignores their longitudinal development. An alternative way of integrating pharmacotherapy and psychotherapy involves their sequential administration. In clinical psychiatry, administration of treatment in sequential order has been mainly limited to instances of treatment resistance and involved different types of drugs, such as in drug-refractory depression. This type of sequential approaches, however, was not targeted to the stages of illness or particularly to residual symptoms. In this paper we describe the development of a sequential strategy based on the use of pharmacotherapy in the acute phase of depression and cognitive therapy in its residual phase. The sequential model introduces a conceptual shift in therapeutic practice. It may also involve the use of pharmacotherapy after psychological treatment, the sequential use of two psychotherapeutic techniques, and two pharmacological strategies. The authors discuss the implications of the sequential model and some related issues which have clinical value. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Fava, Giovanni A.;Ruini, Chiara","","","","Blackwell Publishing","2005","","United Kingdom","12","1","92","96","","","*Affective Disorders;  *Anxiety Disorders;  *Drug Therapy;  *Interdisciplinary Treatment Approach;  *Psychotherapy; Bipolar Disorder; Chronicity (Disorders); Cognitive Behavior Therapy; Major Depression; Models; Relapse Prevention; Severity (Disorders); Treatment Planning","","2005-01375-012","Fava, Giovanni A.: University of Bologna, Department of Psychology, Viale Berti Pichat 5, Bologna, Italy, I-40127, gafava@libero.it","1468-2850(Electronic);0969-5893(Print)","","https://doi.org/10.1093/clipsy.bpi011"
"Journal Article","Treating insomnia in patients with comorbid psychiatric disorders: A focused review.","Despite its known negative effects on physical and mental health, insomnia is an often-ignored condition. Insomnia is both a risk factor for, and a symptom of, several psychiatric disorders and a predictor of death by suicide, making it an important target for intervention. It is the position of the American College of Physicians and the American Academy of Sleep Medicine that the first-line treatment for sleep continuity disturbance should be Cognitive–Behavioral Therapy for Insomnia (CBT-I); however, medical, psychiatric, and psychological communities remain largely unaware of the existence and effectiveness of this therapy. The purposes of this article are to review the following: (a) literature on the relationship between insomnia and psychological health; (b) official guidelines and recommendations for the treatment of insomnia; (c) typical delivery of CBT-I; (d) evidence for the efficacy of CBT-I in insomnia that occurs cormbid with depression, anxiety, posttraumatic stress disorder, bipolar disorder, and psychotic conditions; and (e) need and opportunities for additional education and training. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Garland, Sheila N.;Vargas, Ivan;Grandner, Michael A.;Perlis, Michael L.","","","Canadian Psychology/Psychologie canadienne","Educational Publishing Foundation","2018","","US","59","2","176","186","","","*Cognitive Behavior Therapy;  *Comorbidity;  *Insomnia;  *Mental Disorders; Sleep","","2018-21530-008","Garland, Sheila N.: Department of Psychology, Memorial University, 232 Elizabeth Avenue, St. John’s, NF, Canada, A1B 3X9, sheila.garland@mun.ca","1878-7304(Electronic);0708-5591(Print)","978-1-4338-9171-7","https://doi.org/10.1037/cap0000141"
"Journal Article","Multidimensional structure of the Hypomanic Personality Scale.","The structure of the Hypomanic Personality Scale was explored in a sample of young adults (N = 884); resulting structures were validated on subsamples with measures of personality traits, internalizing symptoms, and externalizing behaviors. Hierarchical cluster analysis and estimates of general factor saturation suggested the presence of a weak general factor, as well as 3 subordinate clusters. The 3-cluster subscales (Social Vitality, Mood Volatility, and Excitement) were moderately correlated but conceptually distinct and were correlated in opposing patterns with a range of personality and psychopathology measures. Results show that cluster subscales suppress total score associations with validity measures. Recommendations are made to analyze Hypomanic Personality Scale data by subscale, and theoretical implications are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Schalet, Benjamin D.;Durbin, C. Emily;Revelle, William","","","Psychological Assessment","American Psychological Association","2011","","US","23","2","504","522","","","*Factor Structure;  *Hypomania;  *Personality Measures;  *Test Construction; Cluster Analysis; Personality Traits; Psychometrics","21480726","2011-07456-001","Schalet, Benjamin D.: Department of Psychology, Northwestern University, 2029 Sheridan Avenue, Evanston, IL, US, 60208, schalet.ben@gmail.com","1939-134X(Electronic);1040-3590(Print)","","https://doi.org/10.1037/a0022301"
"Journal Article","The nature of and behavioral treatment of sleep problems in youth with bipolar disorder.","Bipolar spectrum disorders (BP) occur in up to 1% of youth and are associated with significant impairment. Individuals with BP are often characterized by a decreased need for sleep or dysregulated sleep-wake schedules. For children, such sleep problems often relate to impairment in school and social functioning. Thus, sleep is an especially important target of intervention for youth with BP because of children's sensitivity to lack of sleep and dysregulated sleep routines. The present paper describes sleep-related issues in individuals with BP while also discussing potential behavioral interventions to improve sleep in youth with BP. Two case examples are presented to illustrate potential interventions. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Schwartz, Lisa A.;Feeny, Norah C.","","","International Journal of Behavioral Consultation and Therapy","Joseph D. Cautilli","2007","","US","3","1","88","95","","","*Behavior Therapy;  *Bipolar Disorder;  *Intervention;  *Sleep Wake Cycle; Sleep Wake Disorders","","2014-49514-007","Schwartz, Lisa A.: The Children's Hospital of Philadelphia, 34th and Civic Center Blvd., Philadelphia, PA, US, 19104, schwartzl@email.chop.edu","1555-7855(Electronic)","","https://doi.org/10.1037/h0100173"
