Index,Title,Authors,DOI,Base
0,Análise do processo terapêutico em grupo para pessoas com Transtorno Bipolar,"Deivid Regis dos Santos, Maria Rita Zoéga Soares",http://www.revistas.unam.mx/index.php/acom/article/download/68124/60146,acta
1,Estrutura das sessões de uma intervenção analítico-comportamental em grupo para pessoas diagnosticadas com transtorno bipolar,"Roberta Seles da Costa, Maria Rita Zoéga Soares, Renata Grossi",http://www.revistas.unam.mx/index.php/acom/article/download/58801/51942,acta
2,O uso da psicoeducação no tratamento do transtorno bipolar.,"Ângela Leggerini de Figueiredo, Luciano de Souza, José Caetano Dell´Áglio Jr., Irani Iracema de Lima Argimon",https://doi.org/10.31505/rbtcc.v11i1.412,rbtcc
3,Transtorno Bipolar: Avaliação de um Programa de Psicoeducação sob o Enfoque da Análise do Comportamento,"Samir Vidal Mussi, Maria Rita Zoéga Soares, Renata Grossi",https://doi.org/10.31505/rbtcc.v15i2.602,rbtcc
4,Effectiveness of adapted cognitive behaviour therapy for dysthymia: An evidence based case study.,"Shafiq, Sameera; Bano, Zaqia; Randhawa, Shahid Sharif; Khan, Khalid Hayat; Muhammad, Qurat-Ul-Ain; Muhammad, Abdullah",10.47391/JPMA.1412,bvs
5,Therapeutic Interventions to Mitigate Mitochondrial Dysfunction and Oxidative Stress-Induced Damage in Patients with Bipolar Disorder.,"Madireddy, Sahithi; Madireddy, Samskruthi",10.3390/ijms23031844,bvs
6,Do psychological interventions reduce symptoms of depression for patients with bipolar I or II disorder? A meta-analysis.,"Yilmaz, Sakir; Huguet, Anna; Kisely, Steve; Rao, Sanjay; Wang, JianLi; Baur, Kayti; Price, Molly; O'Mahen, Heather; Wright, Kim",10.1016/j.jad.2021.12.112,bvs
7,Association of Lithium and Second-Generation Antipsychotics with Neurocognition in Youth with Bipolar Disorder.,"Jiang, Xinyue; Mio, Megan; Dimick, Mikaela K; Zou, Yi; Sultan, Alysha A; Goldstein, Benjamin I",10.1089/cap.2021.0093,bvs
8,The influence of childhood trauma on the treatment outcomes of pharmacological and/or psychological interventions for adolescents and adults with bipolar disorder: A systematic review and meta-analysis.,"Wrobel, Anna L; Jayasinghe, Anuradhi; Russell, Samantha E; Marx, Wolfgang; Alameda, Luis; Dean, Olivia M; Cotton, Sue M; Berk, Michael; Turner, Alyna",10.1016/j.jad.2021.09.103,bvs
9,Identifying effective characteristics of behavioral weight management interventions for people with serious mental illness: A systematic review with a qualitative comparative analysis.,"Lee, Charlotte; Piernas, Carmen; Stewart, Cristina; Michalopoulou, Moscho; Hajzadeh, Anisa; Edwards, Rhiannon; Aveyard, Paul; Waite, Felicity",10.1111/obr.13355,bvs
10,Importance of Trauma-Informed Practice in Evaluation of Children Diagnosed with Autism Spectrum Disorder.,"Langenfeld, Adam; Kroupina, Maria; Palmer, Alyssa; Gustafson, Kimara; Augustyn, Marilyn",10.1097/DBP.0000000000000999,bvs
11,Cognitive impairment in euthymic patients with bipolar disorder: Prevalence estimation and model selection for predictors of cognitive performance.,"Tsapekos, Dimosthenis; Strawbridge, Rebecca; Cella, Matteo; Wykes, Til; Young, Allan H",10.1016/j.jad.2021.07.036,bvs
12,Systematic Review of Psychosocial Smoking Cessation Interventions for People with Serious Mental Illness.,"Hawes, Mark R; Roth, Kimberly B; Cabassa, Leopoldo J",10.1080/15504263.2021.1944712,bvs
13,"Cognitive performance in older-age bipolar disorder: Investigating psychiatric characteristics, cardiovascular burden and psychotropic medication.","Beunders, Alexandra J M; Kemp, Tokie; Korten, Nicole C M; Oudega, Mardien L; Beekman, Aartjan T F; Kupka, Ralph W; Stek, Max L; Schouws, Sigfried N T M; Dols, Annemiek",10.1111/acps.13342,bvs
14,Cognitive impairment and consumption of mental healthcare resources in outpatients with bipolar disorder.,"Ribera, Carlos; Vidal-Rubio, Sonia Ll; Romeu-Climent, Jose E; Vila-Francés, Joan; Van Rheenen, Tamsyn E; Balanzá-Martínez, Vicent",10.1016/j.jpsychires.2021.05.003,bvs
15,"This Is Your Brain on Irritability: A Clinician's Guide to Understanding How We Know What We Know Now, and What We Need to Know in the Future, About Irritability in Children and Adolescents.","Dickstein, Daniel P; Barthelemy, Christine M; Jenkins, Gracie A; DeYoung, Lena L A; Gilbert, Anna C; Radoeva, Petya; Kim, Kerri L; MacPherson, Heather A",10.1016/j.chc.2021.04.013,bvs
16,Investigating predictive factors of dialectical behavior therapy skills training efficacy for alcohol and concurrent substance use disorders: A machine learning study.,"Cavicchioli, Marco; Calesella, Federico; Cazzetta, Silvia; Mariagrazia, Movalli; Ogliari, Anna; Maffei, Cesare; Vai, Benedetta",10.1016/j.drugalcdep.2021.108723,bvs
17,Moderators of Treatment for Pediatric Bipolar Spectrum Disorders.,"Roley-Roberts, Michelle E; Fristad, Mary A",10.1080/15374416.2020.1772082,bvs
18,"Dismantling, optimising, and personalising internet cognitive behavioural therapy for depression: a systematic review and component network meta-analysis using individual participant data.","Furukawa, Toshi A; Suganuma, Aya; Ostinelli, Edoardo G; Andersson, Gerhard; Beevers, Christopher G; Shumake, Jason; Berger, Thomas; Boele, Florien Willemijn; Buntrock, Claudia; Carlbring, Per; Choi, Isabella; Christensen, Helen; Mackinnon, Andrew; Dahne, Jennifer; Huibers, Marcus J H; Ebert, David D; Farrer, Louise; Forand, Nicholas R; Strunk, Daniel R; Ezawa, Iony D; Forsell, Erik; Kaldo, Viktor; Geraedts, Anna; Gilbody, Simon; Littlewood, Elizabeth; Brabyn, Sally; Hadjistavropoulos, Heather D; Schneider, Luke H; Johansson, Robert; Kenter, Robin; Kivi, Marie; Björkelund, Cecilia; Kleiboer, Annet; Riper, Heleen; Klein, Jan Philipp; Schröder, Johanna; Meyer, Björn; Moritz, Steffen; Bücker, Lara; Lintvedt, Ove; Johansson, Peter; Lundgren, Johan; Milgrom, Jeannette; Gemmill, Alan W; Mohr, David C; Montero-Marin, Jesus; Garcia-Campayo, Javier; Nobis, Stephanie; Zarski, Anna-Carlotta; O'Moore, Kathleen",10.1016/S2215-0366(21)00077-8,bvs
19,Network-level functional topological changes after mindfulness-based cognitive therapy in mood dysregulated adolescents at familial risk for bipolar disorder: a pilot study.,"Qin, Kun; Lei, Du; Yang, Jing; Li, Wenbin; Tallman, Maxwell J; Duran, Luis Rodrigo Patino; Blom, Thomas J; Bruns, Kaitlyn M; Cotton, Sian; Sweeney, John A; Gong, Qiyong; DelBello, Melissa P",10.1186/s12888-021-03211-4,bvs
20,Pilot Study of a Brief Sleep Intervention for Suicidal Ideation in Bipolar Disorder.,"Sylvia, Louisa G; Janos, Jessica A; Pegg, Samantha L; Montana, Rebecca E; Gold, Alexandra K; Bianchi, Matt; Nierenberg, Andrew A",10.1097/PRA.0000000000000528,bvs
21,Interpersonal Psychotherapy of Posttraumatic Stress Disorder for Veterans and Family Members: An Open Trial.,"Pickover, Alison; Lowell, Ari; Lazarov, Amit; Lopez-Yianilos, Andrea; Sanchez-Lacay, Arturo; Ryba, Matthew; Such, Sara; Arnon, Shay; Amsalem, Doron; Neria, Yuval; Markowitz, John C",10.1176/appi.ps.202000355,bvs
22,Recognising the relevance of cognitive dysfunction in the clinical management of bipolar disorder.,"Van Rheenen, Tamsyn E; Miskowiak, Kamilla; Burdick, Katherine E",10.1111/bdi.13063,bvs
23,"Right unilateral versus bilateral formula-based electroconvulsive therapy in the treatment of major depression in elderly patients: a randomised, open label, pilot controlled trial.","Dominiak, Monika; Goetz, Zuzanna; Antosik-Wojcinska, Anna Z; Swiecicki, Lukasz",10.1111/psyg.12652,bvs
24,Effect of Action-Based Cognitive Remediation on cognitive impairment in patients with remitted bipolar disorder: A randomized controlled trial.,"Ott, Caroline V; Vinberg, Maj; Kessing, Lars V; Bowie, Christopher R; Forman, Julie L; Miskowiak, Kamilla W",10.1111/bdi.13021,bvs
25,Cognitive remediation therapy for patients with bipolar disorder: A randomised proof-of-concept trial.,"Strawbridge, Rebecca; Tsapekos, Dimosthenis; Hodsoll, John; Mantingh, Tim; Yalin, Nefize; McCrone, Paul; Boadu, Janet; Macritchie, Karine; Cella, Matteo; Reeder, Clare; Fish, Jessica; Wykes, Til; Young, Allan H",10.1111/bdi.12968,bvs
