ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN
"mdl-35320244","Effectiveness of adapted cognitive behaviour therapy for dysthymia: An evidence based case study.","Shafiq, Sameera; Bano, Zaqia; Randhawa, Shahid Sharif; Khan, Khalid Hayat; Muhammad, Qurat-Ul-Ain; Muhammad, Abdullah","J Pak Med Assoc;72(3): 554-556, 2022 Mar. ","J Pak Med Assoc","MEDLINE","article","en","2022","Terapia Cognitivo-Comportamental; Transtorno Depressivo; Transtornos de Ansiedade/psicologia; Transtorno Depressivo/psicologia; Transtorno Distímico/terapia; Humanos; Escalas de Graduação Psiquiátrica","PK","https://dx.doi.org/10.47391/JPMA.1412","Several empirical researches imply that cognitive behaviour therapy can be effective in treating psychiatric disorders. In the context of Pakistan, some researches with Culturally Adapted Cognitive Behaviour Therapy were found to be effective for depression, anxiety, bipolar and psychotic disorders. The present study theoretically underpinned the model of Adapted Cognitive Behaviour Therapy (ACBT) based on the inclusion of Tasbeehs (Rosary) derived from the Quran and Sunnah to be fruitful in producing the desirable change in a single case of Dysthymia with anxious distress which was assessed with the help of the Urdu versions of Beck Depression Inventory-II (BDI-II), Beck Anxiety Inventory (BAI), Beck Hopelessness Scale (BHS) and Beck Scale for Suicidal Ideation (BSS). ACBT produced profound differences in pre-test and post-test scores in a patient. The Tasbeeh or Rosary could provide a therapeutic means for treating psychiatric illnesses irrespective of the religious and cultural differences.",20220323,72,3,10.47391/JPMA.1412,0030-9982
"mdl-35163764","Therapeutic Interventions to Mitigate Mitochondrial Dysfunction and Oxidative Stress-Induced Damage in Patients with Bipolar Disorder.","Madireddy, Sahithi; Madireddy, Samskruthi","Int J Mol Sci;23(3)2022 Feb 06. ","Int. j. mol. sci. (Online)","MEDLINE","article","en","2022","Antipsicóticos/uso terapêutico; Transtorno Bipolar/terapia; Terapia Combinada/métodos; Mitocôndrias/metabolismo; Antipsicóticos/farmacologia; Transtorno Bipolar/metabolismo; Terapia Cognitivo-Comportamental; Suplementos Nutricionais; Dopamina/metabolismo; Humanos; Mitocôndrias/efeitos dos fármacos; Estresse Oxidativo/efeitos dos fármacos; Resultado do Tratamento","CH","https://dx.doi.org/10.3390/ijms23031844","Bipolar disorder (BD) is characterized by mood changes, including recurrent manic, hypomanic, and depressive episodes, which may involve mixed symptoms. Despite the progress in neurobiological research, the pathophysiology of BD has not been extensively described to date. Progress in the understanding of the neurobiology driving BD could help facilitate the discovery of therapeutic targets and biomarkers for its early detection. Oxidative stress (OS), which damages biomolecules and causes mitochondrial and dopamine system dysfunctions, is a persistent finding in patients with BD. Inflammation and immune dysfunction might also play a role in BD pathophysiology. Specific nutrient supplements (nutraceuticals) may target neurobiological pathways suggested to be perturbed in BD, such as inflammation, mitochondrial dysfunction, and OS. Consequently, nutraceuticals may be used in the adjunctive treatment of BD. This paper summarizes the possible roles of OS, mitochondrial dysfunction, and immune system dysregulation in the onset of BD. It then discusses OS-mitigating strategies that may serve as therapeutic interventions for BD. It also analyzes the relationship between diet and BD as well as the use of nutritional interventions in the treatment of BD. In addition, it addresses the use of lithium therapy; novel antipsychotic agents, including clozapine, olanzapine, risperidone, cariprazine, and quetiapine; and anti-inflammatory agents to treat BD. Furthermore, it reviews the efficacy of the most used therapies for BD, such as cognitive-behavioral therapy, bright light therapy, imagery-focused cognitive therapy, and electroconvulsive therapy. A better understanding of the roles of OS, mitochondrial dysfunction, and inflammation in the pathogenesis of bipolar disorder, along with a stronger elucidation of the therapeutic functions of antioxidants, antipsychotics, anti-inflammatory agents, lithium therapy, and light therapies, may lead to improved strategies for the treatment and prevention of bipolar disorder.",20220215,23,3,10.3390/ijms23031844,1422-0067
"mdl-35007645","Do psychological interventions reduce symptoms of depression for patients with bipolar I or II disorder? A meta-analysis.","Yilmaz, Sakir; Huguet, Anna; Kisely, Steve; Rao, Sanjay; Wang, JianLi; Baur, Kayti; Price, Molly; O'Mahen, Heather; Wright, Kim","J Affect Disord;301: 193-204, 2022 03 15. ","J Affect Disord","MEDLINE","article","en","2022","Transtorno Bipolar; Terapia Cognitivo-Comportamental; Adulto; Transtorno Bipolar/terapia; Depressão/terapia; Humanos; Intervenção Psicossocial; Psicoterapia; Ensaios Clínicos Controlados Aleatórios como Assunto","NL","https://dx.doi.org/10.1016/j.jad.2021.12.112","BACKGROUND: Psychological therapies may play an important role in the treatment of bipolar disorders. Several meta-analyses that examine the effectiveness of psychotherapies for patients with bipolar disorder include conclusions about the impact upon bipolar depression. However, these tend not to consider differences in depression outcome depending upon whether the therapy primarily targets acute depression, nor severity of baseline depression. This may affect the conclusions drawn about the effectiveness of these therapies for acute bipolar depression treatment. OBJECTIVES: This meta-analysis explored the effectiveness of psychological therapies in reducing bipolar depression, in particular examining whether: (1) the effect of therapy is greater when baseline depressive symptoms are more severe, and (2) the effect of therapy is greater when the primary focus of the therapy is the treatment of acute bipolar depression? DATA SOURCES: A systematic search was conducted using the following electronic databases; Cochrane Controlled Register of Trials (1996), MEDLINE (1966 onwards), EMBASE (1980 onwards), PsycINFO (1974 onwards), Scopus, Web of Science and Clinical Trials Registries (listed at:https://www.hhs.gov/ohrp/international/clinical-trial-registries/index.html). ELIGIBILITY CRITERIA: Eligible studies were randomized controlled trials evaluating a psychological intervention for adults diagnosed with Bipolar I or II disorder. The comparators were usual care, wait-list, placebo, active treatment control. Post-treatment depression status was required to be measured continuously using a validated self- or observer- report measure, or categorically by a validated diagnostic instrument or clinical diagnosis by a suitably qualified person. DATA EXTRACTION AND SYNTHESIS: Titles and abstracts were screened, followed by full texts. Two reviewers conducted each stage until agreement was reached, and both independently extracted study information. Means, standard deviations (SDs) and number of participants were retrieved from articles and used to perform a meta-analysis. The primary outcome was depressive symptom score. RESULTS: The database search identified 6388 studies. After removing the duplicates, 3298 studies remained, of which, 28 studies were included in the qualitative review and 22 in the meta-analysis. Effect sizes range from -1.99 [-2.50, -1.49] to 0.89 [-0.12, 1.90]. There was low quality evidence of a significant effect on symptoms of depression for cognitive behavioral therapy and dialectical behavior therapy. Trials of psychoeducation, mindfulness-based therapy, family therapy and interpersonal and social rhythm therapy showed no evidence of any effect on depression. We found no significant relationship between baseline depression score and depression outcome post-treatment when we controlled for therapy type and comparator. The result also showed that the effect sizes for studies targeting acute depression to be tightly clustered around a small overall effect size. CONCLUSIONS: Some psychological therapies may reduce acute bipolar depression although this conclusion should be viewed with caution given the low quality of evidence. More research using similar therapy types and comparators is needed to better understand the relationship between depression status at baseline and outcome.",20220110,301,,10.1016/j.jad.2021.12.112,1573-2517
"mdl-35085001","Association of Lithium and Second-Generation Antipsychotics with Neurocognition in Youth with Bipolar Disorder.","Jiang, Xinyue; Mio, Megan; Dimick, Mikaela K; Zou, Yi; Sultan, Alysha A; Goldstein, Benjamin I","J Child Adolesc Psychopharmacol;32(1): 61-69, 2022 02. ","J Child Adolesc Psychopharmacol","MEDLINE","article","en","2022","Antipsicóticos; Transtorno Bipolar; Adolescente; Adulto; Antimaníacos/efeitos adversos; Antipsicóticos/efeitos adversos; Transtorno Bipolar/complicações; Transtorno Bipolar/diagnóstico; Transtorno Bipolar/tratamento farmacológico; Humanos; Lítio/efeitos adversos; Testes Neuropsicológicos; Adulto Jovem","US","https://dx.doi.org/10.1089/cap.2021.0093","Objective: Numerous studies have examined the association of antimanic medications with neurocognition in adults with bipolar disorder (BD). However, few studies have examined this topic in youth. Thus, we aimed to examine the association of lithium and second-generation antipsychotics (SGAs), the first-line antimanic medications for youth with BD, with neurocognition in a relatively large sample of youth with BD. Methods: Participants included 91 youth with BD-I, -II, or -Not Otherwise Specified, aged 13-20 years (n = 14 current lithium use, n = 51 current SGA use). We examined four tests from the Cambridge Neuropsychological Test Automated Battery: Intra/Extra Dimensional Set-Shifting Task (IED), Rapid Visual Information Processing Task (RVP), Stockings of Cambridge Test (SOC), and Affective Go/No-Go (AGN). Within-sample Z-scores were computed, and a global neurocognitive composite score and g factor derived from these tests comprised the primary outcomes. Multivariable analyses controlled for age, sex, and IQ. Results: Current lithium use was significantly associated with poorer cognitive flexibility/set-shifting (IED). After further controlling for lifetime comorbid attention-deficit/hyperactivity disorder and current depression symptoms in sensitivity analyses, the lithium finding was no longer significant. Current SGA use was significantly associated with greater affective processing bias (AGN). No significant findings survived correction for multiple comparisons. All other cognitive outcomes were not significantly associated with current lithium use, current SGA use, or total number of current medications. Conclusions: Treatment with lithium or SGAs was associated with minimal neurocognitive impairments, with small effect sizes in primary multivariable analyses. This study adds to the limited body of literature examining medication use in relation to neurocognition in youth with BD. While the current study cannot rule out associations of smaller effect size, present findings suggest that leading mood-stabilizing medications are not associated with frank neurocognitive impairments in youth with BD.",20220127,32,1,10.1089/cap.2021.0093,1557-8992
"mdl-34606813","The influence of childhood trauma on the treatment outcomes of pharmacological and/or psychological interventions for adolescents and adults with bipolar disorder: A systematic review and meta-analysis.","Wrobel, Anna L; Jayasinghe, Anuradhi; Russell, Samantha E; Marx, Wolfgang; Alameda, Luis; Dean, Olivia M; Cotton, Sue M; Berk, Michael; Turner, Alyna","J Affect Disord;296: 350-362, 2022 01 01. ","J Affect Disord","MEDLINE","article","en","2022","Experiências Adversas da Infância; Transtorno Bipolar; Terapia Cognitivo-Comportamental; Adolescente; Adulto; Transtorno Bipolar/terapia; Humanos; Intervenção Psicossocial; Psicoterapia; Resultado do Tratamento","NL","https://dx.doi.org/10.1016/j.jad.2021.09.103","OBJECTIVE: The influence of childhood trauma on the treatment outcomes of pharmacological and/or psychological interventions for adolescents and adults with bipolar disorder was systematically reviewed. METHODS: Randomised and non-randomised studies of interventions for bipolar disorder that included an assessment of childhood trauma were eligible. MEDLINE Complete, Embase, PsycINFO, and the Cochrane Central Register of Controlled Trials were searched. Two independent reviewers completed the screening and extraction process. Two independent reviewers assessed the risk of bias in the included studies using the Cochrane Collaboration's Risk of Bias tool and the Newcastle-Ottawa Scale. Alongside a narrative synthesis, random-effects meta-analyses were performed. RESULTS: Twelve studies (1175 participants) were included. The narrative review highlighted differential treatment outcomes among individuals with a history of childhood trauma. The meta-analyses suggested that childhood trauma was unrelated to treatment response (five studies, 426 participants; odds ratio 0.58, 95% CI 0.27-1.25, p = .164) but may be associated with greater improvement in global functioning (three studies, 210 participants; Hedge's g 0.65, 95% CI 0.04-1.26, p = .037). LIMITATIONS: The impact of childhood trauma on the effectiveness of specific pharmacological/psychological interventions could not be explored due to the small body of research identified. CONCLUSION: The overall quality of the extant evidence is low, which precludes definitive comment on the role of childhood trauma in the treatment of bipolar disorder. Additional research that uses large and representative samples is required to ascertain whether a history of childhood trauma affects the treatment outcomes of interventions for individuals with bipolar disorder.",20211004,296,,10.1016/j.jad.2021.09.103,1573-2517
"mdl-34672069","Identifying effective characteristics of behavioral weight management interventions for people with serious mental illness: A systematic review with a qualitative comparative analysis.","Lee, Charlotte; Piernas, Carmen; Stewart, Cristina; Michalopoulou, Moscho; Hajzadeh, Anisa; Edwards, Rhiannon; Aveyard, Paul; Waite, Felicity","Obes Rev;23(1): e13355, 2022 01. ","Obes Rev","MEDLINE","article","en","2022","Transtornos Mentais; Terapia Nutricional; Adulto; Terapia Comportamental; Humanos; Transtornos Mentais/terapia","GB","https://dx.doi.org/10.1111/obr.13355","People with serious mental illness (SMI) have identified barriers to engaging in behavioral weight management interventions (BWMIs). We assessed whether BWMIs that addressed these barriers were more effective. First, we systematically reviewed qualitative literature and used a thematic analysis to identify the characteristics of BWMIs that promote engagement for adults with SMI. Second, we systematically reviewed randomized controlled trials (RCTs) of BWMIs in adults with SMI. Data on the characteristics that promoted engagement and weight outcomes were extracted. We then used a crisp-set qualitative comparative analysis (CsQCA) to identify which characteristics were associated with weight loss. For the qualitative review, 20 studies in 515 people with SMI were analyzed and nine characteristics were reported to promote engagement in BWMIs. For the systematic review, 34 RCTs testing 36 interventions in 4305 participants were included. The active interventions resulted in more weight loss (mean = -4.37 to +1 kg at 6 weeks to 18 months follow-up) compared with controls (-1.64 to +3.08 kg). The CsQCA showed BWMIs that offered regular contact, tools to support enactment, and tailored materials were associated with effectiveness. As these are all supplementary strategies, it may be possible to augment BWMIs available for the general population to engage people with SMI.",20211021,23,1,10.1111/obr.13355,1467-789X
"mdl-34433202","Importance of Trauma-Informed Practice in Evaluation of Children Diagnosed with Autism Spectrum Disorder.","Langenfeld, Adam; Kroupina, Maria; Palmer, Alyssa; Gustafson, Kimara; Augustyn, Marilyn","J Dev Behav Pediatr;42(8): 690-693, 2021. ","J Dev Behav Pediatr","MEDLINE","article","en","2021","Transtorno do Deficit de Atenção com Hiperatividade; Transtorno do Espectro Autista; Transtornos de Deficit da Atenção e do Comportamento Disruptivo; Transtorno do Espectro Autista/diagnóstico; Transtorno do Espectro Autista/terapia; Criança; Pré-Escolar; Família; Feminino; Humanos; Lactente; Masculino; Pais","US","https://dx.doi.org/10.1097/DBP.0000000000000999","CASE: As part of a multidisciplinary adoption support clinic, Erin, a 5-year-old girl, adopted approximately 6 months before the clinic visit, presents for postadoption evaluation. Erin was born at full term. Her birth history was significant for reported maternal treatment for liver failure during pregnancy. Her previous medical history included hospitalization for a viral illness at age 2 months, recurrent ear infections, and a fractured forearm. Family history was significant for a maternal history of bipolar disorder, depression, anxiety, borderline personality disorder, and concern for substance abuse; a paternal history of attention-deficit/hyperactivity disorder (ADHD) and depression; and full biological brother with a history of ADHD and oppositional defiant disorder. Erin and her brother lived with their parents until she was approximately 3 years old. At that time, there were concerns for poor hygiene, inconsistent medical care, poor school attendance for her brother, financial instability, and significant neglect. Erin was reportedly confined to her crib for hours at a time. She and her older brother were removed from the home because of concerns for significant neglect and placed into foster care. Approximately 3 months after foster placement, Erin underwent testing because of concerns for abnormal behaviors and possible developmental delays. Symptoms included poor sleep, repetitive behaviors such as head banging, delayed speech that primarily involved grunting, and lack of toilet training. She was hyperactive and aggressive and had poor caregiver attachment. On evaluation, she was small for age, poorly groomed, and easily distracted with poor eye contact and did not tolerate interactions with examiners. Neuropsychological testing consisted of symptom checklists and caregiver interview only because she did not tolerate diagnostic testing. She was diagnosed with autism spectrum disorder and global developmental delay with intellectual and language impairments. Over the following year, Erin was transitioned to a second foster family and was subsequently adopted. She received speech, occupational, and physical therapy, along with trauma-informed therapy. She made significant gains in multiple domains and was able to graduate from trauma-informed therapy after 1 year. On examination, Erin greets you with appropriate eye contact and reports that she is feeling "good." She is verbal and interactive with her brother and parents. She looks to parents for support when asked to participate in the physical examination. She does not display any significant repetitive behaviors. Erin's parents are concerned that her initial diagnoses of autism spectrum disorder and global developmental delay do not accurately reflect her current level of functioning and are afraid she may have been misdiagnosed. How would you proceed with next steps to address these diagnoses?",20210825,42,8,10.1097/DBP.0000000000000999,1536-7312
"mdl-34330045","Cognitive impairment in euthymic patients with bipolar disorder: Prevalence estimation and model selection for predictors of cognitive performance.","Tsapekos, Dimosthenis; Strawbridge, Rebecca; Cella, Matteo; Wykes, Til; Young, Allan H","J Affect Disord;294: 497-504, 2021 11 01. ","J Affect Disord","MEDLINE","article","en","2021","Transtorno Bipolar; Disfunção Cognitiva; Idoso; Transtorno Bipolar/tratamento farmacológico; Transtorno Bipolar/epidemiologia; Cognição; Disfunção Cognitiva/epidemiologia; Humanos; Testes Neuropsicológicos; Prevalência","NL","https://dx.doi.org/10.1016/j.jad.2021.07.036","Objectives Although cognitive dysfunction is a prominent feature of bipolar disorder (BD), previous research presents limitations in estimating the proportion of euthymic patients experiencing clinically relevant deficits and identifying predictors of cognitive difficulties. We explored the relevance of recommended definitions of clinically significant cognitive impairment for functional outcomes, estimated its prevalence, and identified patient characteristics associated with cognition. Methods We assessed cognitive performance across four domains in 80 euthymic participants with BD. Participants were categorized based on two criteria for clinically significant cognitive impairment and we assessed the ability of these criteria to differentiate participant performance on established functional outcomes. Variable selection with elastic net regression was used to identify sociodemographic and clinical factors associated with cognitive performance. Selected variables were examined as predictors of clinically significant cognitive impairment with logistic regression. Results According to the selected criterion, 34% presented with clinically significant cognitive impairment. Poorer current cognitive performance was associated with older age, lower estimated premorbid IQ, more currently prescribed psychotropic medications, fewer previous psychological therapies, and current use of antipsychotics. A model with premorbid IQ, psychotropic medications and previous psychological therapies as predictors of cognitive impairment correctly classified 75% of the participants. Conclusions This is one of the first studies to use a model selection approach to identify factors associated with cognitive difficulties in BD. Our findings offer the initial steps towards a predictive model for cognitive impairment. This could improve treatment decisions and prioritization for euthymic patients with BD, particularly the implementation of cognitive interventions.",20210730,294,,10.1016/j.jad.2021.07.036,1573-2517
"mdl-34281493","Systematic Review of Psychosocial Smoking Cessation Interventions for People with Serious Mental Illness.","Hawes, Mark R; Roth, Kimberly B; Cabassa, Leopoldo J","J Dual Diagn;17(3): 216-235, 2021. ","J Dual Diagn","MEDLINE","article","en","2021","Transtornos Mentais; Abandono do Hábito de Fumar; Terapia Comportamental; Bupropiona/uso terapêutico; Humanos; Fumar","US","https://dx.doi.org/10.1080/15504263.2021.1944712","OBJECTIVE: Tobacco smoking is a major driver of premature mortality in people with serious mental illness (SMI; e.g., schizophrenia, bipolar disorder). This systematic literature review described randomized control trials of psychosocial smoking cessation interventions for people with SMI, rated their methodological rigor, evaluated the inclusion of racial/ethnic and sexual/gender minorities, and examined smoking cessation outcomes. Methods: Eligible studies included peer-reviewed articles published between 2009 and 2020 that examined psychosocial smoking cessation interventions in people with SMI. We used the Preferred Reporting Items for Systematic Review and Meta-analysis guidelines to conduct our review and the Methodological Quality Rating Scale to evaluate methodological rigor. Results: Eighteen studies were included. Ten were categorized as high methodological rigor given their study characteristics (e.g., longer follow-up) and eight as lower methodological rigor based on their characteristics (e.g., not intent-to-treat). Racial/ethnic and sexual/gender minorities were under-represented in these studies. A range of psychosocial interventions were examined including motivational enhancements, smoking cessation education, cognitive behavioral strategies, and contingency management. Most studies also provided smoking cessation medications (e.g., NRT, bupropion), although provision was not always uniform across treatment conditions. Three studies found the intervention condition achieved significantly higher abstinence from smoking compared to the comparison group. Seven studies found the intervention condition achieved significantly higher reductions in smoking compared to the comparison group. Conclusions: Studies finding significant differences between the intervention and comparison groups shared common evidenced-based components, including providing smoking cessation medications (e.g., NRT, bupropion), motivational enhancement techniques, and cessation education and skills training, but differed in intensity (e.g., number and frequency of sessions), duration, and modality (e.g., group, individual, technology). Methodological limitations and a small number of studies finding significant between-group differences prevent the identification of the most effective psychosocial smoking cessation interventions. Clinical trial designs (e.g., SMART, factorial) that control for the provision of psychosocial medications and allow for the identification of optimal psychosocial treatments are needed. Future studies should also ensure greater inclusion of racial/ethnic and sexual/gender minorities and should be culturally/linguistically adapted to improve treatment engagement and study outcomes.",20210720,17,3,10.1080/15504263.2021.1944712,1550-4271
"mdl-34166526","Cognitive performance in older-age bipolar disorder: Investigating psychiatric characteristics, cardiovascular burden and psychotropic medication.","Beunders, Alexandra J M; Kemp, Tokie; Korten, Nicole C M; Oudega, Mardien L; Beekman, Aartjan T F; Kupka, Ralph W; Stek, Max L; Schouws, Sigfried N T M; Dols, Annemiek","Acta Psychiatr Scand;144(4): 392-406, 2021 10. ","Acta Psychiatr Scand","MEDLINE","article","en","2021","Transtorno Bipolar; Idoso; Transtorno Bipolar/tratamento farmacológico; Transtorno Bipolar/epidemiologia; Cognição; Estudos Transversais; Função Executiva; Humanos; Testes Neuropsicológicos","US","https://dx.doi.org/10.1111/acps.13342","OBJECTIVE: This study aimed to explore a large range of candidate determinants of cognitive performance in older-age bipolar disorder (OABD). METHODS: A cross-sectional study was performed in 172 BD patients aged &#8805;50 years. Demographics, psychiatric characteristics and psychotropic medication use were collected using self-report questionnaires and structured interviews. The presence of cardiovascular risk factors was determined by combining information from structured interviews, physical examination and laboratory assessments. Cognitive performance was investigated by an extensive neuropsychological assessment of 13 tests, covering the domains of attention, learning/ memory, verbal fluency and executive functioning. The average of 13 neuropsychological test Z-scores resulted in a composite cognitive score. A linear multiple regression model was created using forward selection with the composite cognitive score as outcome variable. Domain cognitive scores were used as secondary outcome variables. RESULTS: The final multivariable model (N = 125), which controlled for age and education level, included number of depressive episodes, number of (hypo)manic episodes, late onset, five or more psychiatric admissions, lifetime smoking, metabolic syndrome and current use of benzodiazepines. Together, these determinants explained 43.0% of the variance in composite cognitive score. Late onset and number of depressive episodes were significantly related to better cognitive performance whereas five or more psychiatric admissions and benzodiazepine use were significantly related to worse cognitive performance. CONCLUSION: Psychiatric characteristics, cardiovascular risk and benzodiazepine use are related to cognitive performance in OABD. Cognitive variability in OABD thus seems multifactorial. Strategies aimed at improving cognition in BD should include cardiovascular risk management and minimizing benzodiazepine use.",20210624,144,4,10.1111/acps.13342,1600-0447
