index	name	author	DOI	base
1	Effectiveness of adapted cognitive behaviour therapy for dysthymia: An evidence based case study.	Shafiq, Sameera; Bano, Zaqia; Randhawa, Shahid Sharif; Khan, Khalid Hayat; Muhammad, Qurat-Ul-Ain; Muhammad, Abdullah	10.47391/JPMA.1412	bvs
2	Therapeutic Interventions to Mitigate Mitochondrial Dysfunction and Oxidative Stress-Induced Damage in Patients with Bipolar Disorder.	Madireddy, Sahithi; Madireddy, Samskruthi	10.3390/ijms23031844	bvs
3	Association of Lithium and Second-Generation Antipsychotics with Neurocognition in Youth with Bipolar Disorder.	Jiang, Xinyue; Mio, Megan; Dimick, Mikaela K; Zou, Yi; Sultan, Alysha A; Goldstein, Benjamin I	10.1089/cap.2021.0093	bvs
4	The influence of childhood trauma on the treatment outcomes of pharmacological and/or psychological interventions for adolescents and adults with bipolar disorder: A systematic review and meta-analysis.	Wrobel, Anna L; Jayasinghe, Anuradhi; Russell, Samantha E; Marx, Wolfgang; Alameda, Luis; Dean, Olivia M; Cotton, Sue M; Berk, Michael; Turner, Alyna	10.1016/j.jad.2021.09.103	bvs
5	Identifying effective characteristics of behavioral weight management interventions for people with serious mental illness: A systematic review with a qualitative comparative analysis.	Lee, Charlotte; Piernas, Carmen; Stewart, Cristina; Michalopoulou, Moscho; Hajzadeh, Anisa; Edwards, Rhiannon; Aveyard, Paul; Waite, Felicity	10.1111/obr.13355	bvs
6	Importance of Trauma-Informed Practice in Evaluation of Children Diagnosed with Autism Spectrum Disorder.	Langenfeld, Adam; Kroupina, Maria; Palmer, Alyssa; Gustafson, Kimara; Augustyn, Marilyn	10.1097/DBP.0000000000000999	bvs
7	Cognitive impairment in euthymic patients with bipolar disorder: Prevalence estimation and model selection for predictors of cognitive performance.	Tsapekos, Dimosthenis; Strawbridge, Rebecca; Cella, Matteo; Wykes, Til; Young, Allan H	10.1016/j.jad.2021.07.036	bvs
8	Systematic Review of Psychosocial Smoking Cessation Interventions for People with Serious Mental Illness.	Hawes, Mark R; Roth, Kimberly B; Cabassa, Leopoldo J	10.1080/15504263.2021.1944712	bvs
9	Cognitive performance in older-age bipolar disorder: Investigating psychiatric characteristics, cardiovascular burden and psychotropic medication.	Beunders, Alexandra J M; Kemp, Tokie; Korten, Nicole C M; Oudega, Mardien L; Beekman, Aartjan T F; Kupka, Ralph W; Stek, Max L; Schouws, Sigfried N T M; Dols, Annemiek	10.1111/acps.13342	bvs
10	Cognitive impairment and consumption of mental healthcare resources in outpatients with bipolar disorder.	Ribera, Carlos; Vidal-Rubio, Sonia Ll; Romeu-Climent, Jose E; Vila-Francés, Joan; Van Rheenen, Tamsyn E; Balanzá-Martínez, Vicent	10.1016/j.jpsychires.2021.05.003	bvs
11	This Is Your Brain on Irritability: A Clinician's Guide to Understanding How We Know What We Know Now, and What We Need to Know in the Future, About Irritability in Children and Adolescents.	Dickstein, Daniel P; Barthelemy, Christine M; Jenkins, Gracie A; DeYoung, Lena L A; Gilbert, Anna C; Radoeva, Petya; Kim, Kerri L; MacPherson, Heather A	10.1016/j.chc.2021.04.013	bvs
12	Investigating predictive factors of dialectical behavior therapy skills training efficacy for alcohol and concurrent substance use disorders: A machine learning study.	Cavicchioli, Marco; Calesella, Federico; Cazzetta, Silvia; Mariagrazia, Movalli; Ogliari, Anna; Maffei, Cesare; Vai, Benedetta	10.1016/j.drugalcdep.2021.108723	bvs
13	Dismantling, optimising, and personalising internet cognitive behavioural therapy for depression: a systematic review and component network meta-analysis using individual participant data.	Furukawa, Toshi A; Suganuma, Aya; Ostinelli, Edoardo G; Andersson, Gerhard; Beevers, Christopher G; Shumake, Jason; Berger, Thomas; Boele, Florien Willemijn; Buntrock, Claudia; Carlbring, Per; Choi, Isabella; Christensen, Helen; Mackinnon, Andrew; Dahne, Jennifer; Huibers, Marcus J H; Ebert, David D; Farrer, Louise; Forand, Nicholas R; Strunk, Daniel R; Ezawa, Iony D; Forsell, Erik; Kaldo, Viktor; Geraedts, Anna; Gilbody, Simon; Littlewood, Elizabeth; Brabyn, Sally; Hadjistavropoulos, Heather D; Schneider, Luke H; Johansson, Robert; Kenter, Robin; Kivi, Marie; Björkelund, Cecilia; Kleiboer, Annet; Riper, Heleen; Klein, Jan Philipp; Schröder, Johanna; Meyer, Björn; Moritz, Steffen; Bücker, Lara; Lintvedt, Ove; Johansson, Peter; Lundgren, Johan; Milgrom, Jeannette; Gemmill, Alan W; Mohr, David C; Montero-Marin, Jesus; Garcia-Campayo, Javier; Nobis, Stephanie; Zarski, Anna-Carlotta; O'Moore, Kathleen	10.1016/S2215-0366(21)00077-8	bvs
14	Pilot Study of a Brief Sleep Intervention for Suicidal Ideation in Bipolar Disorder.	Sylvia, Louisa G; Janos, Jessica A; Pegg, Samantha L; Montana, Rebecca E; Gold, Alexandra K; Bianchi, Matt; Nierenberg, Andrew A	10.1097/PRA.0000000000000528	bvs
15	Interpersonal Psychotherapy of Posttraumatic Stress Disorder for Veterans and Family Members: An Open Trial.	Pickover, Alison; Lowell, Ari; Lazarov, Amit; Lopez-Yianilos, Andrea; Sanchez-Lacay, Arturo; Ryba, Matthew; Such, Sara; Arnon, Shay; Amsalem, Doron; Neria, Yuval; Markowitz, John C	10.1176/appi.ps.202000355	bvs
16	Recognising the relevance of cognitive dysfunction in the clinical management of bipolar disorder.	Van Rheenen, Tamsyn E; Miskowiak, Kamilla; Burdick, Katherine E	10.1111/bdi.13063	bvs
17	Right unilateral versus bilateral formula-based electroconvulsive therapy in the treatment of major depression in elderly patients: a randomised, open label, pilot controlled trial.	Dominiak, Monika; Goetz, Zuzanna; Antosik-Wojcinska, Anna Z; Swiecicki, Lukasz	10.1111/psyg.12652	bvs
18	The effect of concomitant benzodiazepine use on neurocognition in stable, long-term patients with bipolar disorder.	Cañada, Yolanda; Sabater, Ana; Sierra, Pilar; Balanzá-Martínez, Vicent; Berk, Michael; Dodd, Seetal; Navalón, Pablo; Livianos, Lorenzo; García-Blanco, Ana	10.1177/0004867420969819	bvs
19	Funciones cognitivas en la descendencia de pacientes con trastorno bipolar I/ Psychopathological and neuropsychological profile in the offspring of patients with bipolar disorder type I	Bertieri Arcila, Humberto Carlos; De La Rosa, Adonilso Julio; Lemos Buitrago, Rocío	10.22517/25395203.23161	bvs
20	Little Agreement on Treating Residual Bipolar Disorder Symptoms in a Child.	Post, Robert M; Rowe, Michael; Findling, Robert	10.4088/PCC.19m02574	bvs
21	Role of autobiographical memory in the impact of MBCT on dysfunctional attitudes, depressive symptoms and anxiety in bipolar I patients.	Docteur, Aurélie; Mirabel-Sarron, Christine; Kaya Lefèvre, Héline; Sala, Loretta; Husky, Mathilde; Swendsen, Joel; Gorwood, Philip	10.1016/j.jad.2020.07.072	bvs
22	Influence of modifiable and non-modifiable variables on functioning in bipolar disorder: a path analytical study"."	Cotrena, Charles; Damiani Branco, Laura; Milman Shansis, Flávio; Paz Fonseca, Rochele	10.1080/13651501.2020.1779307	bvs
23	Cognitive theory of mind in bipolar disorder: Comparisons with healthy controls and associations with function.	Popolo, Raffaele; Borsella, Irene; Meschini, Laura; Pianella, Umberto; Zampaglione, Gabriella; Vinci, Giancarlo; Salvatore, Giampaolo; Dimaggio, Giancarlo; Vecchiotti, Roberta; Huling, Kelsey; Lysaker, Paul H	10.1016/j.psychres.2020.113030	bvs
24	Targeting intrusive imagery using a competing task technique: a case study.	Iyadurai, Lalitha; Hales, Susie A; Blackwell, Simon E; Young, Kerry; Holmes, Emily A	10.1017/S1352465820000296	bvs
25	The association between lithium use and neurocognitive performance in patients with bipolar disorder.	Burdick, Katherine E; Millett, Caitlin E; Russo, Manuela; Alda, Martin; Alliey-Rodriguez, Ney; Anand, Amit; Balaraman, Yokesh; Berrettini, Wade; Bertram, Holli; Calabrese, Joseph R; Calkin, Cynthia; Conroy, Carla; Coryell, William; DeModena, Anna; Feeder, Scott; Fisher, Carrie; Frazier, Nicole; Frye, Mark; Gao, Keming; Garnham, Julie; Gershon, Elliot S; Glazer, Kara; Goes, Fernando S; Goto, Toyomi; Harrington, Gloria J; Jakobsen, Petter; Kamali, Masoud; Kelly, Marisa; Leckband, Susan; Løberg, Else Marie; Lohoff, Falk W; Maihofer, Adam X; McCarthy, Michael J; McInnis, Melvin; Morken, Gunnar; Nievergelt, Caroline M; Nurnberger, John; Oedegaard, Ketil J; Ortiz, Abigail; Ritchey, Megan; Ryan, Kelly; Schinagle, Martha; Schwebel, Candice; Shaw, Martha; Shilling, Paul; Slaney, Claire; Stapp, Emma; Tarwater, Bruce; Zandi, Peter; Kelsoe, John R	10.1038/s41386-020-0683-2	bvs
26	Bipolar disorder as a condition of heterogeneity: Embracing an adaptive psychosocial approach.	Gold, Alexandra K; Otto, Michael W; Sylvia, Louisa G	10.1111/bdi.12896	bvs
27	Assessment and treatment of sleep problems in bipolar disorder-A guide for psychologists and clinically focused review.	Morton, Emma; Murray, Greg	10.1002/cpp.2433	bvs
28	Demographic and Clinical Characteristics, Including Subsyndromal Symptoms Across Bipolar-Spectrum Disorders in Adolescents.	Salazar de Pablo, Gonzalo; Guinart, Daniel; Cornblatt, Barbara A; Auther, Andrea M; Carrión, Ricardo E; Carbon, Maren; Jiménez-Fernández, Sara; Vernal, Ditte L; Walitza, Susanne; Gerstenberg, Miriam; Saba, Riccardo; Lo Cascio, Nella; Brandizzi, Martina; Arango, Celso; Moreno, Carmen; Van Meter, Anna; Correll, Christoph U	10.1089/cap.2019.0138	bvs
29	Assessment of irritability in school-aged children by pediatric, family practice, and psychiatric providers.	Hameed, Usman; Dellasega, Cheryl; Scandinaro, Anna	10.1177/1359104519865591	bvs
30	Opposite effects of dopamine and serotonin on resting-state networks: review and implications for psychiatric disorders.	Conio, Benedetta; Martino, Matteo; Magioncalda, Paola; Escelsior, Andrea; Inglese, Matilde; Amore, Mario; Northoff, Georg	10.1038/s41380-019-0406-4	bvs
31	What is the relationship between post-traumatic stress disorder, extreme appraisals of internal state and symptoms in bipolar disorder?	Frost, Laura; Mansell, Warren; Varese, Filippo; Tai, Sara	10.1017/S1352465819000572	bvs
32	Pharmacological and Psychosocial Treatment of Adults With Gambling Disorder: A Meta-Review.	Di Nicola, Marco; De Crescenzo, Franco; D'Alò, Gian Loreto; Remondi, Chiara; Panaccione, Isabella; Moccia, Lorenzo; Molinaro, Marzia; Dattoli, Luigi; Lauriola, Alessandro; Martinelli, Silvia; Giuseppin, Giulia; Maisto, Francesco; Crosta, Maria Luigia; Di Pietro, Salvatore; Amato, Laura; Janiri, Luigi	10.1097/ADM.0000000000000574	bvs
33	Immune response to stress induction as a predictor of cognitive-behavioral therapy outcomes in adolescent mood disorders: A pilot study.	Pearlstein, Jennifer G; Staudenmaier, Paige J; West, Amy E; Geraghty, Shauna; Cosgrove, Victoria E	10.1016/j.jpsychires.2019.10.012	bvs
34	Improved functioning following computerized working memory training (COGMED®) in euthymic patients with bipolar disorder and cognitive complaints: An exploratory study.	Lengvenyte, Aiste; Coppola, Frédéric; Jaussent, Isabelle; Courtet, Philippe; Olié, Emilie	10.1016/j.jad.2019.11.062	bvs
35	Long versus short pulse width subcallosal cingulate stimulation for treatment-resistant depression: a randomised, double-blind, crossover trial.	Ramasubbu, Rajamannar; Clark, Darren L; Golding, Sandra; Dobson, Keith S; Mackie, Aaron; Haffenden, Angela; Kiss, Zelma Ht	10.1016/S2215-0366(19)30415-8	bvs
36	Pharmacological and behavioural interventions to promote smoking cessation in adults with schizophrenia and bipolar disorders: a systematic review and meta-analysis of randomised trials.	Pearsall, Robert; Smith, Daniel J; Geddes, John R	10.1136/bmjopen-2018-027389	bvs
37	The chronotherapeutic treatment of bipolar disorders: A systematic review and practice recommendations from the ISBD task force on chronotherapy and chronobiology.	Gottlieb, John F; Benedetti, Francesco; Geoffroy, Pierre A; Henriksen, Tone E G; Lam, Raymond W; Murray, Greg; Phelps, James; Sit, Dorothy; Swartz, Holly A; Crowe, Marie; Etain, Bruno; Frank, Ellen; Goel, Namni; Haarman, Bartholomeus C M; Inder, Maree; Kallestad, Håvard; Jae Kim, Seong; Martiny, Klaus; Meesters, Ybe; Porter, Richard; Riemersma-van der Lek, Rixt F; Ritter, Philipp S; Schulte, Peter F J; Scott, Jan; Wu, Joseph C; Yu, Xin; Chen, Shenghao	10.1111/bdi.12847	bvs
38	Morningness-eveningness scores predict outcomes differentially for depressed patients attending morning vs. afternoon day treatment streams.	Levitan, Robert D; Klein, Ryan; Bakshi, Neely; Laposa, Judith; Hill, Sean; Kloiber, Stefan; Daskalakis, Zafiris J	10.1080/07420528.2019.1661851	bvs
39	The Interface Between Psychiatry and Ophthalmology.	Sadykov, Evgenii; Studnicka, Jan; Hosák, Ladislav; Siligardou, Mikela-Rafaella; Elfurjani, Hajer; Hoikam, Jessica Leung; Kugananthan, Surentheran; Petrovas, Anastasios; Amjad, Talal	10.14712/18059694.2019.104	bvs
40	Cognitive decline after electroconvulsive therapy, based on psychiatric disorders.	Zandifar, Atefeh; Rahim, Badrfam; Assareh, Marzieh; Pahlevan, Hossein Ali; Naji, Borzooyeh	10.1016/j.ajp.2019.07.045	bvs
41	Functional remediation improves bipolar disorder functioning with no effects on brain-derived neurotrophic factor levels.	Bonnin, Caterina Del Mar; Valls, Elia; Rosa, Adriane R; Reinares, Maria; Jimenez, Esther; Solé, Brisa; Montejo, Laura; Meseguer, Ana; Pacchiarotti, Isabella; Colom, Francesc; Martinez-Aran, Anabel; Tomioka, Yoko; Vieta, Eduard; Torrent, Carla	10.1016/j.euroneuro.2019.04.002	bvs
42	Paliperidone Use in Child Psychiatry: Evidence or Diffidence?	Naguy, Ahmed; Adel, Tarek; Almazeedi, Ibrahim	10.1159/000500629	bvs
43	Current understanding of bipolar disorder: Toward integration of biological basis and treatment strategies.	Kato, Tadafumi	10.1111/pcn.12852	bvs
44	Clinical and biological effects of long-term lithium treatment in older adults with amnestic mild cognitive impairment: randomised clinical trial.	Forlenza, Orestes V; Radanovic, Márcia; Talib, Leda L; Gattaz, Wagner F	10.1192/bjp.2019.76	bvs
45	The Cost-Effectiveness of the Improving Access to Psychological Therapies (IAPT) Programme in Severe Mental Illness: A Decision Analytical Model Using Routine Data.	Zala, Darshan; Brabban, Alison; Stirzaker, Alex; Kartha, Muralikrishnan Radhakrishnan; McCrone, Paul	10.1007/s10597-019-00390-z	bvs
46	Effects of a behavioural weight loss intervention in people with serious mental illness: Subgroup analyses from the ACHIEVE trial.	Alexander, Eleanore; McGinty, Emma E; Wang, Nae-Yuh; Dalcin, Arlene; Jerome, Gerald J; Miller, Edgar R; Dickerson, Faith; Charleston, Jeanne; Young, Deborah R; Gennusa, Joseph V; Goldsholl, Stacy; Cook, Courtney; Appel, Lawrence J; Daumit, Gail L	10.1016/j.orcp.2019.02.002	bvs
47	Predictors of Treatment Adequacy During Evidence-Based Psychotherapy for PTSD.	Hale, Andrew C; Bohnert, Kipling M; Ganoczy, Dara; Sripada, Rebecca K	10.1176/appi.ps.201800361	bvs
48	Diet quality and eating patterns in euthymic bipolar patients.	Lojko, D; Stelmach-Mardas, M; Suwalska, A	10.26355/eurrev_201902_17016	bvs
49	Comorbid disorders as moderators of response to family interventions among adolescents with bipolar disorder.	Weintraub, Marc J; Axelson, David A; Kowatch, Robert A; Schneck, Christopher D; Miklowitz, David J	10.1016/j.jad.2018.12.125	bvs
