PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31371720","Obsessive-compulsive disorder","Stein DJ, Costa DLC, Lochner C, Miguel EC, Reddy YCJ, Shavitt RG, van den Heuvel OA, Simpson HB.","Nat Rev Dis Primers. 2019 Aug 1;5(1):52. doi: 10.1038/s41572-019-0102-3.","Stein DJ","Nat Rev Dis Primers","2019","2019/08/03","PMC7370844","NIHMS1573139","10.1038/s41572-019-0102-3"
"23470603","Violence in schizophrenia and bipolar disorder","Volavka J.","Psychiatr Danub. 2013 Mar;25(1):24-33.","Volavka J","Psychiatr Danub","2013","2013/03/09","","",""
"29044718","Child- and Family-Focused Cognitive Behavioral Therapy for Pediatric Bipolar Disorder: Applications for Suicide Prevention","Weinstein SM, Cruz RA, Isaia AR, Peters AT, West AE.","Suicide Life Threat Behav. 2018 Dec;48(6):797-811. doi: 10.1111/sltb.12416. Epub 2017 Oct 16.","Weinstein SM","Suicide Life Threat Behav","2018","2017/10/19","PMC5902658","NIHMS904943","10.1111/sltb.12416"
"31021488","Current understanding of bipolar disorder: Toward integration of biological basis and treatment strategies","Kato T.","Psychiatry Clin Neurosci. 2019 Sep;73(9):526-540. doi: 10.1111/pcn.12852. Epub 2019 May 23.","Kato T","Psychiatry Clin Neurosci","2019","2019/04/26","","","10.1111/pcn.12852"
"33052390","Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis","Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A.","JAMA Psychiatry. 2021 Feb 1;78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.","Miklowitz DJ","JAMA Psychiatry","2021","2020/10/14","PMC7557716","","10.1001/jamapsychiatry.2020.2993"
"31722343","The Gut Microbiome in Bipolar Disorder and Pharmacotherapy Management","Flowers SA, Ward KM, Clark CT.","Neuropsychobiology. 2020;79(1):43-49. doi: 10.1159/000504496. Epub 2019 Nov 13.","Flowers SA","Neuropsychobiology","2020","2019/11/14","","","10.1159/000504496"
"28472082","Efficacy of cognitive-behavioral therapy in patients with bipolar disorder: A meta-analysis of randomized controlled trials","Chiang KJ, Tsai JC, Liu D, Lin CH, Chiu HL, Chou KR.","PLoS One. 2017 May 4;12(5):e0176849. doi: 10.1371/journal.pone.0176849. eCollection 2017.","Chiang KJ","PLoS One","2017","2017/05/05","PMC5417606","","10.1371/journal.pone.0176849"
"30086469","Mindfulness-based cognitive therapy for bipolar disorder: A systematic review","Lovas DA, Schuman-Olivier Z.","J Affect Disord. 2018 Nov;240:247-261. doi: 10.1016/j.jad.2018.06.017. Epub 2018 Jul 6.","Lovas DA","J Affect Disord","2018","2018/08/08","PMC7448295","NIHMS1619452","10.1016/j.jad.2018.06.017"
"34002096","Genome-wide association study of more than 40,000 bipolar disorder cases provides new insights into the underlying biology","Mullins N, Forstner AJ, O'Connell KS, Coombes B, Coleman JRI, Qiao Z, Als TD, Bigdeli TB, Børte S, Bryois J, Charney AW, Drange OK, Gandal MJ, Hagenaars SP, Ikeda M, Kamitaki N, Kim M, Krebs K, Panagiotaropoulou G, Schilder BM, Sloofman LG, Steinberg S, Trubetskoy V, Winsvold BS, Won HH, Abramova L, Adorjan K, Agerbo E, Al Eissa M, Albani D, Alliey-Rodriguez N, Anjorin A, Antilla V, Antoniou A, Awasthi S, Baek JH, Bækvad-Hansen M, Bass N, Bauer M, Beins EC, Bergen SE, Birner A, Bøcker Pedersen C, Bøen E, Boks MP, Bosch R, Brum M, Brumpton BM, Brunkhorst-Kanaan N, Budde M, Bybjerg-Grauholm J, Byerley W, Cairns M, Casas M, Cervantes P, Clarke TK, Cruceanu C, Cuellar-Barboza A, Cunningham J, Curtis D, Czerski PM, Dale AM, Dalkner N, David FS, Degenhardt F, Djurovic S, Dobbyn AL, Douzenis A, Elvsåshagen T, Escott-Price V, Ferrier IN, Fiorentino A, Foroud TM, Forty L, Frank J, Frei O, Freimer NB, Frisén L, Gade K, Garnham J, Gelernter J, Giørtz Pedersen M, Gizer IR, Gordon SD, Gordon-Smith K, Greenwood TA, Grove J, Guzman-Parra J, Ha K, Haraldsson M, Hautzinger M, Heilbronner U, Hellgren D, Herms S, Hoffmann P, Holmans PA, Huckins L, Jamain S, Johnson JS, Kalman JL, et al.","Nat Genet. 2021 Jun;53(6):817-829. doi: 10.1038/s41588-021-00857-4. Epub 2021 May 17.","Mullins N","Nat Genet","2021","2021/05/18","PMC8192451","NIHMS1687813","10.1038/s41588-021-00857-4"
"31211354","Maintenance Pharmacological Treatment of Juvenile Bipolar Disorder: Review and Meta-Analyses","Yee CS, Hawken ER, Baldessarini RJ, Vázquez GH.","Int J Neuropsychopharmacol. 2019 Aug 1;22(8):531-540. doi: 10.1093/ijnp/pyz034.","Yee CS","Int J Neuropsychopharmacol","2019","2019/06/19","PMC6672626","","10.1093/ijnp/pyz034"
